Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
금액,금액,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
허용,허용,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
소상공인,소상공인,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코,코,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청산,청산,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
리얼타임,리얼타임,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
위원장,위원장,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가계,가계,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부채,부채,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홈,홈,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금융결제원,금융결제원,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
외부,외부,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신청,신청,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
실적,실적,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
최고,최고,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경영자,경영자,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이번,이번,,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
개설,개설,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
발급,발급,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
액,액,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
결제금,결제금,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
애플리케이션,애플리케이션,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쇼핑몰,쇼핑몰,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금융사,금융사,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기준,기준,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가상자산,가상자산,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우대,우대,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신종,신종,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코로나19,코로나19,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동기,동기,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코리아,코리아,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영세,영세,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
감염증,감염증,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한경,한경,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
눈,눈,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
자본,자본,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
법인,법인,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스타트업,스타트업,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
프리미엄,프리미엄,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
알리페이,알리페이,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마이데이터,마이데이터,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마련,마련,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
출시,출시,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
시,시,,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
법안,법안,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아,아시아,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코로나바이러스,코로나바이러스,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
네트워크,네트워크,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
알리바바,알리바바,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
데일리,데일리,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금융당국,금융당국,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
은성수,은성수,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인상,인상,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
소비,소비,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
권한,권한,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인증,인증,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
언론,언론,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공감,공감,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
직불,직불,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상반기,상반기,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마케팅,마케팅,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
